epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.632,1.44284,5.18708,0.00215,0.01285,0.00216,9e-05,6e-05,1.00424,4.47666,0.00162,6.152e-05,6.152e-05,6.152e-05
2,36.3865,1.09068,4.15618,0.0014,0.04556,0.2235,0.07377,0.05641,0.82909,2.69959,0.00125,0.000130083,0.000130083,0.000130083
3,43.4616,0.86849,2.92646,0.00106,0.33729,0.15174,0.09686,0.08007,0.8285,2.20449,0.00121,0.000197961,0.000197961,0.000197961
4,50.6228,0.87156,2.55385,0.00099,0.45333,0.19956,0.13777,0.1199,0.72178,3.18052,0.00102,0.000265153,0.000265153,0.000265153
5,57.7816,0.83149,2.44178,0.00085,0.62654,0.25568,0.21657,0.18381,0.84562,5.58123,0.00111,0.00033166,0.00033166,0.00033166
6,64.6475,0.86139,2.50859,0.00099,0.69593,0.28281,0.29737,0.26002,0.80198,4.14945,0.00101,0.000397483,0.000397483,0.000397483
7,71.8023,0.8602,2.0316,0.0009,0.87835,0.32286,0.38015,0.32487,0.74443,2.0339,0.00102,0.00046262,0.00046262,0.00046262
8,78.82,0.86239,1.87985,0.00105,0.67936,0.41263,0.45486,0.37945,0.68516,1.52687,0.00089,0.000527071,0.000527071,0.000527071
9,85.7849,0.83526,1.94348,0.00097,0.67936,0.41263,0.45486,0.37945,0.68516,1.52687,0.00089,0.000590838,0.000590838,0.000590838
10,92.7151,0.86219,1.87147,0.001,0.70584,0.40628,0.4768,0.38567,0.74052,1.27469,0.00106,0.00065392,0.00065392,0.00065392
11,99.5174,0.95668,1.61377,0.00107,0.70584,0.40628,0.4768,0.38567,0.74052,1.27469,0.00106,0.000716316,0.000716316,0.000716316
12,106.514,0.8499,1.35699,0.00097,0.56551,0.39157,0.47504,0.37965,0.70266,0.9863,0.001,0.000727128,0.000727128,0.000727128
13,113.241,0.79571,1.39576,0.00103,0.56551,0.39157,0.47504,0.37965,0.70266,0.9863,0.001,0.000723321,0.000723321,0.000723321
14,120.245,0.88453,1.16525,0.00089,0.69967,0.48923,0.51975,0.40971,0.71176,0.88246,0.00097,0.000719515,0.000719515,0.000719515
15,127.404,0.85705,1.16907,0.00095,0.67677,0.51197,0.53008,0.41973,0.82183,1.16415,0.00112,0.000715708,0.000715708,0.000715708
16,134.393,0.84648,1.40174,0.00097,0.67677,0.51197,0.53008,0.41973,0.82183,1.16415,0.00112,0.000711902,0.000711902,0.000711902
17,141.476,0.88694,1.37804,0.00104,0.78116,0.52886,0.55616,0.44905,0.76699,0.91309,0.00111,0.000708095,0.000708095,0.000708095
18,148.447,0.86995,1.35328,0.00096,0.78116,0.52886,0.55616,0.44905,0.76699,0.91309,0.00111,0.000704289,0.000704289,0.000704289
19,155.418,0.91215,1.09001,0.00122,0.77371,0.53987,0.59958,0.48153,0.88753,0.7666,0.00132,0.000700482,0.000700482,0.000700482
20,162.558,0.90832,0.95718,0.00109,0.77371,0.53987,0.59958,0.48153,0.88753,0.7666,0.00132,0.000696676,0.000696676,0.000696676
21,169.579,0.87498,1.03743,0.00107,0.81525,0.53716,0.60805,0.49206,0.89007,0.76756,0.0012,0.000692869,0.000692869,0.000692869
22,176.763,0.80126,0.94745,0.00086,0.67536,0.60484,0.63201,0.5161,0.82766,0.76005,0.0012,0.000689062,0.000689062,0.000689062
23,183.797,0.8392,0.99648,0.00106,0.67536,0.60484,0.63201,0.5161,0.82766,0.76005,0.0012,0.000685256,0.000685256,0.000685256
